Review Title,Username,Review Date,Review,Hate Speech,Explanation
A Disaster in Story Telling,fuzin-31458,27 June 2020,"I will cut to the chase: The Last of Us 2 was ruined by horrendous story telling including numerous ridiculous plot holes and inconsistencies. I am tolerant enough to accept the personal politics that the developers shoe-horned into the game, although I reject it, but the abhorrent narrative and ludicrous plot is unacceptable. It truly feels like this game only exists to figuratively eradicate everything that was built up in the predecessor. If you want to find the one game that gives fans the finger, simply because they had the audacity to love and praise the previous title, then this is it.Not everything is completely awful, as The Last of Us 2 is a beautiful game and easily the best looking PS4 title, the voice acting is also top notch and the musical score is very satisfying, but this all just smoke and mirrors. This is meaningless in a story driven video game that lacks a solid and enjoyable story arch.
As a side note, I am in awe that Naughty Dog failed to improve gameplay and AI. What have the gameplay designers been up to for the past seven years?That all said, it pains me greatly to give The Last of Us 2 such a low score, as I am a huge and passionate fan of The Last of Us and Naughty Dog, but I have no other choice. This game is an abomination and not acceptable for me as a gamer in any way.To end this rant, I truly hope that Sony rethinks their strategy for the future and keeps a closer on eye what their first party studios are developing. Creative freedom is good, but too much can be a very bad thing, especially when that freedom is abused to destroy something that fans love simply out of pure spite and animosity.",1.0,Hate speech detected in categories: violence
If I could Id rate this a 0/10,Refresher12,26 June 2020,"This game was one of the mostly highly anticipated games of the year and it fell so short it is insane. First things first the game play, it is good if I were to rate it seperately it would be a 7/10 just for gameplay however, this game is a linear story based game which means that the story matters the most. From the first game's gameplay not much has changed a few new mechanics here and there not a lot of puzzles if any actually. The characters still feel stiff and some of the guns feel weaker and items as well compared to the first game. However, overall the gameplay is very nice when you stealth through the game and not when you shoot everybody up.
However, the story is what matters the most in this linear game and it is awful. In summary you play this game for nothing to get accomplished aside from a major character death at the beginning that's all that happens. The characters feel completely different from the first game and the new characters are so uninteresting it is crazy as they try to make the player bond with a character that pulverises a major character. And it falls flat on its face as the character is just purely evil and the most unlikeable in this whole game. You spend 10 hours with that character and nothing really gets done. If you enjoy flashbacks intensely you will love this game as there are flashbacks in flashbacks but most are poorly done a they feel poorly executed in order of whenthey happen so, basically the pacing is trash. The only likeable character in this game is character that dies as you actually bond with but its pointless since he's dead. The ending is possibly the worst ending in entertainment history due to the fact its trying to push a message that has been pushed many of times before this game existed and it does it so poorly. Again a story that was a waste of time for the player and the world they built.
Finally the way that they handled the scene where the major character death occurs is full of plot contrivances which breaks the immersion and makes you feel the catalyst for this storyline was forced as much as it possibly could be. Disregarding any character traits that have been built up to this point through the previous game.We waited 7 YEARS FOR THIS. No this game is dreadful do not play it unles then is the game that pandered to you hope enjoy it since its not for the fans because why would the fans want to enjoy the second game.",0.0,No hate speech detected.
Terrible sequel to an amazing game.,witmsatfm,25 June 2020,Just bad.....................................................,0.0,No hate speech detected.
A very disappointing ending to such an amazing franchise!,daniel_b-96097,25 June 2020,"I'm not a story writer by trade but here is an alternate story arc I think would have fitted the game so much better.1. Ellie and Dina's relationship begins to grow and they set off to do their second patrol when they are captured by a group of SCARS. They try and force Dina and Ellie to betray their community and give up the location of their settlement. They refuse, so they slowly kill Dina in front of Ellie. They then approach Ellie to kill her when Joel and Tommy arrive guns blazing and scatter the group. Ellie is left crying holding Dina's dead corpse in her hands and the faces of those who killed her burned into her memory. Joel tells Ellie not to go after them, but his fatherly instincts tell him to seek justice and avenge Dina on Ellie's behalf. Joel sneaks away from camp on his quest for justice. Tommy and Ellie realise Joel has left and go after him. You play as a mixture of both Joel and Ellie at different stages of the game. Joel manages to track down each SCARs member who was there when Dina was killed and kills them one by one. Ellie and Tommy finally catch up with Joel at the final showdown with the SCARS leader, the man who killed Dina and the remaining SCARS members. An epic battle takes place which results in Joel making the ultimate sacrifice which kills both him and the SCARS leader. As Ellie holds Joel in her arms they are able to reconcile and Ellie finally forgives Joel and tells him she loves him. The sun begins to rise and as Joel looks out to the sunrise with his last breath he says ""Daddy's coming home baby girl"". Cue the credits.This is the kind of story I would have loved to see in TLOU2. So sad they didn't do our beloved characters justice in this poorly written game. In my heart this is how my game ended.",1.0,Hate speech detected in categories: violence
Very disappointing,andretraboulsy,24 June 2020,"👎🏻 I'm sorry Sony PS and NaughtyDog, the Last Of Us Part 2 game wasn't what I expected, first the death of Joel and then you complet it with the poor and sad ending, thank you.",0.0,No hate speech detected.
No no no,basterbuster,24 June 2020,Game looks amazing the world is amazing gameplay is good story is TRASH they kill Joel and then you must play as his killer pure trash. I don t know who s idea was that because it s stupid.1/10,1.0,"Hate speech detected in categories: violence, individual"
Naughty dog forgot what made the first game so good!,jamielewis-51864,24 June 2020,"I've played the first game over and over, not for the gameplay really, but for the story.
When I bought the second game, again it wasn't really for the gameplay it was for the story.
And man was it disappointing. Whether it's Joel's early death. The lack of information on what happened during the five years that had passed. Or the fact that you play more of the game as the person you so desperately want to kill. Then if that's not enough Ellie, leaves a perfectly good life, with a hope of being a part of a family to finally kill Abby. Only to go through hell and let her live. Also just to rub salt in the womb, she can't play guitar anymore.
The ending makes the entire game pointless. Ellie has no problem killing everyone else, but when it comes to the actual killer, she can't do it?
People loved the first game because of the relationship that builds between the two main characters. Take that away and your left with a soulless shadow, with no senteniment or purpose, apart from wondering around and killing people for the sake of killing people.
I hate to say it, but you needed more of the same as the first game. They needed to show more from the past five years between Joel and Ellie. Build their relationship up until the point Ellie finds out about the hospital. Then skip 2 years to the Dina and Ellie kiss scene, with Joel interfering, and Ellie telling him she dosent need him. Then if you want to stick to the revenge theme. You could have Tommy get killed and Joel goes on a revenge tour and Ellie joins him. Or like the trailers baited us with, Dina gets killed and Ellie goes on a revenge tour and Joel joins her.
In the first game Joel and Ellie build a relationship, and in this game the pair of them rebuild their relationship.
Then after an entire game playing with the pair of them, and they finally kill everyone involved with the killing of their loved ones. Then you could kill off Joel with a new group like 'the rattlers' and the third game can be Ellie travelling across the country to take them out.
Naughty dog forgot about what worked in the last game, and because of that part 2 lost its essence.",1.0,Hate speech detected in categories: violence
Baaaaaad,ScrotusMaximusMob,24 June 2020,"Shockingly bad, bas writing, only decent thing is graphics, would not recommend, fortnite is the way to go, this is very awful",0.0,No hate speech detected.
Joel,ryet81,23 June 2020,They kill Joel. Very disappointing that they kill Joel. Joel was the best. Not sure why naughty dog would kill off Joel. Can't believe they would ruin the game by killing Joel like that. I miss Joel. I turned the game off when they killed Joel. Bad game killed the Joel.,1.0,Hate speech detected in categories: violence
"A pretty game that fails to live up to any form of expectations, including my own progressive values.",shanepjones,23 June 2020,"I'll split my review into sections, first being the story (obviously), then the gameplay/physics, which many consider to be the shining light of the game, which could not be further from the truth once you dig deep... I'll also talk about graphics, which are top notch, but a few iffy things that should be noted. Then finally some ending notes. This will be a long read, and please be open minded.-STORY-I'll also state openly now, I'm pansexual and openly date trans/binary people, as it seems a lot of people with valid criticisms against the game regarding the handling of minorities are being labeled bigots by white cis-males blindly defending the game. Yes, there are bigots complaining, but they're a vocal minority.I'm first going to touch on the poor progressive values this game and it's creators hold, then delve into the actual poor writing. Firstly, people of color in this game are poorly represented, the only three black people in the game are enemies, have zero redeeming qualities, and are all killed by white people. You have a girl that refuses to hand information to Ellie, bad mouths the much loved previous game's protagonist, then gets brutally murdered because of the actions of Abby (a white cis-woman Ellie couldn't bring herself to murder). You have a cult leader, who is also black and all around deranged creep, that once again is murdered by a white woman. And finally, a generic boss fight with a black man that's a follower in the cult, only for him to be brutally mutilated by Abby. Most forms of media are aware enough to add black allies, and good representation should they dive into making POC villains, this was completely disregarded in this game, and instead features white characters that will attempt to make you feel are relatable/understandable, asians that are obstacles/plot drivers because if their backstories, and black people that are purely antagonists. Once again, Naughty Dog has a predominantly white cast, (with all of their top employees also being white), but doesn't have a single person of color survive until the credits, which is a trend that started in the first game, continued in Lost Legacy, and has carried over here, except now it's ""okay"", because they were all bad people apparently, but unlike white characters, we don't get their backstories or how they were impacted in life, we just have to assume they were rotten to begin with, which is internalised racism in it's most disgusting form.Now perhaps they got the LGBT issues right? Surely? Sadly no... They are about as progressive as an early 2000's TV show that was also written by straight people (much like this game). Ellie has a lesbian relationship with her partner Dina, however it has complications due to Ellie's desire for revenge, her hiding truths from Dina, and Dina showing very little trust/understanding in Ellie. It's portrayed that they're not working on an emotional level, but their sex life is good, so that's all that matters apparently. By the end of the game, neither Ellie nor Dina are together despite both being alive, because it's too difficult for straight men to write loving lesbian relationships that work out. Why can't the LGBT community have what Drake and Elena had in the Uncharted games? Is it too risky to actually show love between same gender partners?But perhaps Naughty Dog got the trans issues right? Absolutely not. The game heavily implies Lev changed his gender to male simply of his refusal to become the wife of a cult leader and because he would rather be a soldier, not because he was uncomfortable with the body he was born with.To make matters worse, ND openly admitted they made female characters look more masculine to supposedly help trans rights (which isn't helping at all actually, it's just making things more difficult). As a result, it led to some bigoted people calling Abby (a musclier cis-woman) trans, after the leaks showing her killing Joel, a much loved character, then we had these bigots hating on her and trans people as a result while making disgusting jokes. Did Naughty Dog or Neil Druckmann open up and tell people to cool off the trans hate and explain Abby wasn't trans? No, instead Neil waits until after the game releases, and says ""Ha, got you, Abby wasn't trans at all you bigots!"", all while the months leading up to the game, trans people have had to deal with constant abuse/hatred that they easily could have stopped. - As a trans ally, thanks for nothing Naughty Dog, you're capitalising on a minorities struggles.Putting politics in games is also fine, however if you politics are going to oppress minorities by making them all evil, you've just pissed off both sides of the political spectrum.~I also want to announce now, if you support LGBT issues, please check out Life is Strange and Celeste, they are much better written, have loveable LGBT friendly characters, and actually get the struggles without capitalising on them in a zombie game.~Now, we've covered the progressive issues, let's delve deeper into the poor plot!The game largely feels like a damp fever dream of the first game, the cast of characters have had major attitude changes for no explicit reason. Joel is strangely trusting resulting in his death, Ellie is more boyish/aggressive, Tommy is practically bipolar and never seems to know what he wants.The game centres around revenge, but in the most ridiculous and complicated way possible. After Joel's death, Ellie spends most of her gameplay going on killing sprees taking down unlikable innocents, dogs, and pregnant woman, but when she finally has the opportunity to take down the one woman solely responsible for the death of her father figure, she can't bring herself to do it. It honestly felt like watching the Final Destination (everything always goes wrong) movies crossed with Kill Bill, but made worse than both with an anticlimactic ending.Abby's gameplay is spent dealing with an irredeemable cult (which honestly drags on and feels out of place compared to the rest of the themes in the game), with flashbacks trying to make the player feel for her... - It misses the mark. Abby's father was the surgeon Joel kills from the previous game, the game even establishes that Abby was aware he was going to have to kill Ellie, and there was a chance a cure couldn't be produced. With that said, you would think she would have been aware enough to know that her father operating on an unconscious/unwilling girl was a mistake just asking for trouble... But her pettiness/desire for revenge overthrows this, showing how mentally weak she is. It's hard to relate to a character that is so unhinged.Now... The big elephant in the room... Joel's death, this has been explained in full depth by many other people. But what I will add, is that the disregard for characters like this shows a lack of passion from the writers, and shows they don't even understand what was previously established.There are many other nitpicks/plotholes/story gripes I could spend hours on, but they're understandable for video games (And still probably less ridiculous than Uncharted 4's eight foot wall stopping Elena and Sully from carrying on with Nate, when they've climbed crazy buildings, and Nate had a rope on him. - Thanks for that one too Neil.-GAMEPLAY/PHYSICS-Oh boy oh boy, how people are raving about a generic third person setup is beyond me, and a buggy one at that.The Last of Us Part 2 is basically a copy and paste of the first game, and uses the same engine. You have the typical ""stiff-feeling"" character models, upgrades that make the game far too easy on higher difficulties, and a LOT of walking around/interacting with objects/environment between combat sections, which becomes tedious in a shooter with a bad story. Only difference this time is that we now have a jank jump button (or should I say buttons) that looks incredibly awkward when performing (like the characters are fish jumping out of water). We also have some changes to make hand to hand combat easier, but also more lengthy, and some terrible changes to the beloved bottles/bricks from the first game.The A.I in the game is exactly the same as it was in the first game, Left Behind, Uncharted 4 and Left Behind... And let me be upfront now, this is bad. I understand those games are a little more loved by gamers, but they all had terrible A.I that act the same. If you explore gameplay without following traditional methods of play, you'll notice every enemy will resort to chasing you in the open regardless of their role. (They will also quickly lose you if you hide and often not bother to check the area you were last seen at). It's felt so unnatural and has made gameplay very unsatisfying for me. Back in Uncharted 1-3, enemies played roles based on their weapons, shotguns would always flank you, assault rifles would stay at mid-range but sometimes get close or distance themselves, snipers always kept their distance, while it may sound simplistic by word, it was much more enjoyable as each combat encounter felt like a puzzle as opposed to a bunch of idiots rushing you. I recall in Uncharted 4 having a good laugh as I left a single sniper on the map that kept chasing me down trying to punch me, he was absolutely hopeless but determined to not use his gun. TLOU2 brings this back, and it's a shame. It should also be noted that the A.I is often unresponsive and had trouble hitting/grabbing you in certain segments.Friendly A.I isn't much better, unlike the early Uncharted games, where if you tried ditching your partner while they were in trouble, they'd die and you'd have to restart. TLOU 2 brings in an awkward system where you can ditch your partner that's in trouble, then they'll suddenly appear next to you once",1.0,"Hate speech detected in categories: violence, individual, group"
Dissapointment: The Video Game,ffbaa,23 June 2020,"Game play is average, for the most part boring. The combat is fun but the AI seems to hate stairs, because it looks like they can't handle it properly. Combat-wise it is a step up from the last game. Every now and then though, you get to ""play"" some ""long corridor"" sections, very linear, with nothing going on whatsoever.The graphics and soundtrack are amazing. The closer it comes to an art piece is when you look at the world and you can hear all the sounds playing in the background. Every track has meaning to it and they always enhance the scene.However, the plot is contrived and very nonsensical up to the point I'm playing, and it's a shame because The Last of Us is supposed to be a narrative driven franchise. Characters in this game behave completely differently from the first game, in fact, if weren't for the voice actors I wouldn't believe they are the same people. Joel gives the feeling he completely abandoned his life. Ellie evolved into such a brat that at times I barely care for what happens to her. Abby's background is weak and it's hard to feel any empathy for why she did what she did. It keeps switching perspectives for no reason, sometimes it feels as if they had just thought of something and snucked that in right at the very moment it came to their minds. There was a point I thought I was sitting through a CW's Batwoman episode, due to how poorly paced and out of place everything felt.I don't think I'll finish it. I was hoping the plot would get better but it is actually getting worse. Maybe I'll just watch what's left for me to play and quit. I'm very disappointed.",0.0,No hate speech detected.
Disappointed,a-98219,23 June 2020,"Maaaaan where do i start ! I just finished the game
Graphics and design are amazing, it's Naughty dog of course it's amazing
But the story is so baaaad and predictable I didn't like any of the new characters I didn't get attached to any of them like I get attached to Ellie and Joel from TLOU the first part
Like why would I care about Abby ! Why is she playable character! Why Dina in the game whats her role ! To confirm that Ellie is gay ! That's actually her role in the story
They just killed the franchise
The ending of the last of us was PERFECT ! I wish they haven't done this game at all",1.0,Hate speech detected in categories: violence
When a developer's political fantasies interfere with a project...,sqn-57020,23 June 2020,"SPOILER FREE REVIEWWe've all heard the political controversies behind this game, and I'm sure a number of us hoped against hope that this wouldn't have compromised the overall game quality... however it did.The first 25% to 30% of the game was passable and the gameplay mechanics is acceptable enough (nothing new or original addeded to get you excited) However, the game completely changes direction halfway through that will illicit more cringe than interest.There are characters in the game that are so blatantly and obviously politically motivated, and such a convoluted mess that it reminds you of that one overly emotional kid in middle school whose emotional complexities and experience in love were derived from an episode of Teletubbies.If you really want to see what happens in the game, watch the complete gameplay video on YouTube. There are already a few uploaded.Otherwise, save your money for something else.",0.0,No hate speech detected.
garbage don't waste your time,andiesikes,23 June 2020,Trash. There's no wonder why they kept pushing the release date back.,0.0,No hate speech detected.
Love this game but,bertis-97904,22 June 2020,Why should I be forced to play abby honestly it ruins the game I think,0.0,No hate speech detected.
Absolute Trash!!!,bishosan,22 June 2020,What a waste of time and energy!What a waste of Joel!He spent literally the last season protecting her and killed all of those ppl and ehen it comes to her... Oh violence is not the solution!!,1.0,Hate speech detected in categories: violence
Trash,JustOneDude,22 June 2020,"Words can't describe what is worst then worst
10 for gameplay but there is one issue. Many times get inside in ground or fall inside. Horrible message up . Give 10 stars but for story -8 (minus) star and 1 star is take away by druckman . This is tlou game don't play with front of any family member",0.0,No hate speech detected.
TLOU fans don't play this positive reviews are lies,bopoh-39331,22 June 2020,"As a tlou fan it is utterly heartbreaking to post such a low review. I can say the only thing I really enjoyed is the new game mechanics but other then that the story is very poorly written and not well done. I feel they really betrayed TLOU fans and robbed us of what TLOU is all about, Joel and Ellie's journey. That is what made the game come to a big frenzy but this one really is a slap in the face to fans. Spoilers you don't even get true justice for Joel in the end and his killer lives on when they shouldn't. The thing is the truth never got out Joel never really wanted to kill the surgeon in the first one the fireflies never gave him a chance they put guns in his face and told him to leave and he reacted properly. They never told Ellie they wanted her to die to find this cure so the fireflies did wrong in the first place and for this group of former fireflies to come after Joel with out this knowledge and these assumptions is utter nonsense. They were trying to make it sound one sided without bringing all the rest of the info in to justify Abby and her horrible actions. I feel very robbed of a TLOU experience, they took away that Ellie and Joel experience and just threw in other characters to make a terrible story about people no one gives a damn about. I am very heartbroken by naughty dogs decision here on what they did and how they decided to end this series but this is not a TLOU game it is just some over glorified game with too many positive reviews from people who aren't TLOU fans. This game will collect dust on the shelf and periodically if I spot it I'll just be reminded of the long awaited disappointment we got with this release. TLOU 1 is for me and I'll just go to playing that and re living what I feel in love with the first time round and try to put this part 2 abomination behind me. If you're a big TLOU fan and haven't play the 2nd part spare yourself the pain, agony, and disappointment and just live in part 1 that's where it's at.",1.0,Hate speech detected in categories: violence
Gender ideology,sergiocarlosguerrato,22 June 2020,"This is what happens when you mix gender ideology with video games, it's obvious it's not going to work out.",0.0,No hate speech detected.
Complete mess,rachelarreola,22 June 2020,"The last of us was the first ND game I played and became emotionally invested in, cried when Joel held his dying daughter, felt sad when Tess sacrificed herself, and felt so deeply sorry for Henry and Sam, the first game pulled you in, and took you for a ride of emotions. It's no surprised that I was excited when hearing about part 2, I played it, and was very disappointed, the disrespect of Joel's character was terrible, the love between Ellie and Dina seemed forced and not organic, the game play with Abby is utterly boring and uninteresting, and the ending was no payout at all and unsatisfying, and being told that I'm a bigot for not liking it, makes me dislike it even more, luckily, I bought it in the store, so this bigot will be returning it no doubt.",1.0,Hate speech detected in categories: group
what a desappointment !,jad-05872,22 June 2020,"What a desappointment! what to say ....
the game is so bad that I'm glad I didn't waste my money!
before the first last of us was an adventure game full of emotion and full of memorable moments ...
but now it looks like a game of teenagers nothing more! the story is banal it looks like a teen movie about romantic relationships and nothing more and sex scenes that is the most stupid thing iv'e ever wedn
I'm really disappointed that they brought out such a bad game and ruined the story of the first one!
this is what happens when you only think about money!",1.0,Hate speech detected in categories: individual
"Finished it, processed it... still feel empty",josephryan-35346,21 June 2020,"Disclaimer: loved the first
Ill keep it short.
Barely any new gameplay mechanics? Only been in the making for SEVEN YEARS.
Repetitive: go one place, clear it, go another place, clear it- for THIRTY HOURS
The graphics were great 7 years ago, but have not improved at all (albeit still decent). Esp. with red dead graphics, this pales in comparison.
The worst crime however was the ending, which is so depressing it made me wanna snap my disk. Ellie deserved a better ending, on a farm with Dina. Her revenge plot has made her unreconisable as a character. And I miss Joel. I feel as empty as Ellie did at this point, the only character I care about is Dina!
Also, is the cure storyline over? Would give the series some purpose at least
Essentially, they took the hate theme way too far",0.0,No hate speech detected.
"I wish i could say; this was a game about "" The Last of us""",sayatg,21 June 2020,One of the most dissappointing and rambling sequel script that i have ever experienced in a movie or a video game.,0.0,No hate speech detected.
Incredibly underwhelming,blazesimi,21 June 2020,The game seems more like an interactive movie than a game.,0.0,No hate speech detected.
Boring,evil_world,21 June 2020,The game totally destroy me with bad storyline very bad i swearI feel really bad wor joel and nothing happened to abby in the end,1.0,Hate speech detected in categories: violence
Imagine if this much effort went into a good story...,YourAverageReviewer,21 June 2020,What a joke of a game. A disgrace to the characters that built this game into what it was. This game failed in production and could never be objectively good based on the terrible idea alone.,0.0,No hate speech detected.
"Awful story, even worst ending",burning_kerberous,21 June 2020,"I don't even know how to put everything this game has made me feel in words... Could have
been an amazing game, but the story is beyond awful, in the first 2 hours it will break you... I just continued playing to get revenge, just to get to the end and not having that option... I wish I could get my 70 dollars back... If you liked tlou 1 don't buy this, it just takes a huge dump on it, for me there was never a part 2. Stay safe",0.0,No hate speech detected.
Worst game ever !!,ahmadyalshahari,21 June 2020,I can't believe this is the GAME that we have been waiting for ! It's really disappointing!! Please save your money for something worth !!,0.0,No hate speech detected.
What a disappointment,lolamanolastar,21 June 2020,"After waiting for YEARS for the second game to come out, they absolutely destroyed a beautiful story. I guess they HAD to add drama. Joel did not deserve this ending at all and I genuinely do not wish to finish the game now. Because there is no point. Revenge stories are overrated but I guess the creators didn't think so. Definitely not the game of the year. Remember if the story is trash, the graphics mean nothing.",1.0,Hate speech detected in categories: violence
Astonished Failure,aldossaryaras,21 June 2020,"This game wins the failure
I can't believe I could play garbage game I in my life",0.0,No hate speech detected.
A Perfect Trash,conangamer,21 June 2020,"This game represent the perfection in all kinds of thrash in the universe. It is the fail of the failures and it is impossible to list it in gaming category, this must listed in wastage and garbage category.",0.0,No hate speech detected.
Astonished Failure,aldossaryaras,21 June 2020,7 Years with extremely high budget and the product is a complete garbage,0.0,No hate speech detected.
Just don't buy the game,afrahmalik-83150,21 June 2020,"Worst ending,Joel didn't deserve this.Such a disappointment after years of waiting.I just hate this story line.",0.0,No hate speech detected.
The story is a complete mess,dccomcz,21 June 2020,"The story is an incoherent disaster for this highly anticipated sequel. The already well established characters make unbelievable choices constantly, the narrative is filled to the absolute brim with plotholes. and convinience. I highly reccomend avoiding this you will be better off.",0.0,No hate speech detected.
If you don't want to have a bad taste in your mouth? Don't play this game.,ZekT,21 June 2020,"The ending for this game was like thanos having all the Infinity stones and not snapping his fingers.
We lost a beloved character and not in a epic hero way. We deserved better but we got slapped in face instead.",0.0,No hate speech detected.
Not fun not deep just fails,pedroshimose,20 June 2020,"If your hobby is video games do not waste your time and money. Triyng to be something deep and being cheap and poor im emotions and just not fun.Why? making noise sells and being controversial is modern .... I want my money back, my time more difficult the fun and joy of playing video games into depression.",0.0,No hate speech detected.
Great game!!!,chaimoriah,20 June 2020,"NOT.
This game is really bad.
I don't recommend anyone to play it",0.0,No hate speech detected.
so baaad storyline!,mfdelfawzi,20 June 2020,"Bro The writing in this game is really really bad and the story much worse , the new characters are awful all of this in one game
a big disappointment they call themselves naughty and they know why
and one plus : ABS is abby 😂",0.0,No hate speech detected.
Completely awful,khaledalsayed,20 June 2020,"No good writing , the events are completely confusing , the game lost its essence.",0.0,No hate speech detected.
A game with decent gameplay but a horrendous story,krozzen,20 June 2020,"7 years, I waited for this dumpster fire of a game. The story is complete nonsense, filled with plot holes and choices that certain chagracters would've never made. And for being a story about revenge, it doesn't even manage to reach a satisfying ending. Complete garbage front to back.",0.0,No hate speech detected.
Awesome Game (Sarcasm),epikindinos,20 June 2020,Just pretend this game never came out. If you like the first one do not play this one ty.,0.0,No hate speech detected.
Ruined the franchise!,malithfdo-98073,20 June 2020,Spoiler alert!The way Joel died for shock value is just poor writing ! Then Ellie killing hundreds of people who did nothing personal against her but then let's Abby get away cause Ellie thinks Joel wouldn't want Abby dead?Come on that's just poor writing!,1.0,Hate speech detected in categories: violence
atrocious,alhashmi_hassan,20 June 2020,"To be honest I though the leaks were a joke because it was so bad even a child can write a better story and ND never failed to deliver before this disaster, Imagine you building the best game of its generation but then you destroy it just to push a political agenda and you fail in doing so and make everyone hate your agenda because you destroyed their beloved game and that is TLOU2 in a nutshellIf you kill one of the most beloved characters early in the game (Joel) and want to bring in new main playable characters like Abby(trans), you HAVE to bring WAY more backstory in order to make the player feel with her. furthermore they changed Ellie CHARACTER TO the worse
this is the only game where Naughty dog failed and they did so just to be politically correct damn disappointing
this is even worse than DMC2 and reboot for devil may cry franchise",1.0,Hate speech detected in categories: violence
Meh.,mohammedalanze18,20 June 2020,"Amazing graphics and violence and okay gameplay.
Very awful story, Ugly bad characters.
this game is filled with agenda a lot.",0.0,No hate speech detected.
Heartbroken,ras71-540-428706,20 June 2020,Well the leaks where true this is the reason i will not buy this game I'm lost for words lucky I give one star if I could it be zero,0.0,No hate speech detected.
Laugh at me. I bought the Special Edition,steniofranklin,20 June 2020,"This is the screenplay. - Act 1. Intro guitar - Hey, I wanna show you something, then proceed to the showing something part with cutsie corny cringe dialogue. Then go to a depressing scene, Followed by a horrible thing happening. Act 2. Hey, I wanna show you something, cutsie corny cringe dialogue. Then go to a depressing scene, Followed by a horrible thing happening. Act III. Hey, I wanna show you something... okay you get it. It's a very repetitive script and it makes the gameplay very mechanic as the gameplay is only a vehicle to the story, you know what to do and where to go and what to expect only by playing the last scene in the last chapter where things played out just the same. I got to let something very clear to be just, the voice acting is one of the best I've ever seen in any media. It's not even in the same sphere other games I've played. I could not congratulate the cast more and I would also congratulate the director have him not be one of the goddamn script writers.",0.0,No hate speech detected.
Bad Writing.,MrDrieco,20 June 2020,"Imagine watching Raiders Of the Lost Ark with the adventures of Indiana Jones and Marion Ravenwood...and then at the starting to watch the follow-up Temple of Doom. And in the first 20 minutes, Marion is forced to watch some character we don't know brutally murder Indy in front of her...and then the film's entire second act is about humanizing this character..That is The Last Of Us 2. it doesn't matter her backstory or gender...You've made a character we don't know irredeemable and expect us to care about them and their welfare? If I were playing as Abby, I'd walk into gunfire because we naturally hate her. I would do the same if Owen was the one who did the beating. This is just poor writing choices.",0.0,No hate speech detected.
This game should be called: THE LAST OF JOEL!,Neptune165,20 June 2020,"I'd rather watch a faucet drip for two hours! Can't believe they didn't even let Joel to say his last word to Ellie. They don't understand he saved Ellie because he had the chance. when his daughter got killed he didn't have the chance to save her it was so sudden. They could have made his death mean something and drive the story to new heights. Joel's death is treated with absolutely zero respect, it's the cheapest death since the sword guy from Indiana Jones. So she kills everyone to get to her, even a pregnant woman and a guy who told her what she needed to hear and didn't need to die, and got killed anyway, but she spares Abby because she only then realizes that there is a kid with her. She has a flashback, so she sets off to kill Abby, travels for months, only to have another flashback from the same night, but from a few hours later, so she changes her mind. That's not how memory works. Maybe only if you have amnesia. It was a worst pointless story that has no soul and is not worth telling. Character decisions made no sense whatsoever and it's a stain on the memory of the original. The core of the game is the relationship between Joel and Ellie. That's what makes us want to play.",1.0,Hate speech detected in categories: violence
I Hope I Wake Up Tomorrow and Naughty Dog Delays The Game Again,jyttrup1,20 June 2020,"I've played a lot of video games for a long time, and the Last of Us is up there as one of the 10 best games I've ever played. Naughty Dog has been almost perfect in all of their games. Jak & Daxter: amazing. Crash Bandicoot: awesome. Uncharted: My favorite game series of all time.Then there's Last of Us 2. The prime example of what happens when some hot shot writer decides they're more concerned with their political agenda and their chance to tell a teenage emotional roller coaster story than they are about pleasing the players who keep them in business.The gameplay is... basically the exact same as the first game. The graphics are better (as they should be... it's been SEVEN YEARS after all). But the storyline takes a dump all over the mastery of the first game.In this game you get an angsts teenager who looks like Shrek lead a band of people you'd just as soon see on The Bachelor as they hunt down our characters from the first game. They then rip off the Walking Dead and kill a character you've come to love by killing him with sporting equipment. Then another brutal murder of one you love, and attempted murder of another character you love, all for the game to force you to let the antagonist (which the game forces you to play as so you can experience their awkward Teenage love triangle) just walk away.This takes the cake as the worst game I've ever had the misfortune of wasting my money on. I would highly encourage saving your money and passing on this title, it's brutally stupid.",1.0,"Hate speech detected in categories: violence, individual"
Ignore the 10/10 scores.,pyoung-51652,19 June 2020,"People giving this game 10/10 haven't got a clue and must be casual gamers. If they did indeed like the first game, they would hate the way Joel act massively out of character and get himself killed.People saying you ""didn't understand the story"" if you didn't like this game, are in fact clueless themselves on what makes a good story, with good pacing, structure and narrative.Compared to the first game, this one is a massive step backwards. The last of us gradually developed a beautiful relationship between Joel and Ellie. Neither trusted quickly but eventually they completely relied on each other and Joel did everything to save Ellie.This game makes the first one meaningless. Joel and Tommy managed to survive all this time in a post apocalyptic world, then tell a bunch of randoms their names and base location. They would never do that. NEVER. The writing on the sucks.Between Joel's death, Ellie not going through with killing Abbie and losing her fingers in the process (when Abbie bites them off), what is the point of this game. What is the message?You can't argue that the game's graphics are stunning, but all ND games are. It's expected. But graphics do not make a good game. On top of that, the game play hasn't progressed and felt old and clunky and highly repetitive.Overall I was not impressed. maybe the game was hyped up too much and I expected more. Either way, I was left with a massive feeling of being let down.",1.0,Hate speech detected in categories: violence
