Username,Review,Score,Review Date,Hate Speech,Reasoning
Cyberputo, so much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trashso much lgtv trash,0,"Sep 3, 2023",0,No hate speech detected.
prakken," too much **** propaganda to appreciate, this game was the beginning of the **** station we see now",0,"Sep 3, 2023",0,No hate speech detected.
bronnypantz," the worst game i have played in my life, this game ended my habit on pre-ordering video games, bravo",0,"Sep 2, 2023",0,No hate speech detected.
SAFIziad, This game absolutely destroyed last of us fans The story is very bad one of the worst story i ever seen. the writers are a bunch of idiots,0,"Sep 2, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
Impactsystem," It's a real shame, but naughty dog simply ruined all the tremendous job they did at technical level with a low-quality plot, ﬂat characters, unnecessary ""political messages"" and boring storytelling overall. The game s graphics are terriﬁc, gameplay's ok, but the strength of this game was the vibes, the evolution of characters, the feelings we could experience in tlou1. Not only all this is missing in this game, but writers made a special eﬀort in destroying the legacy, and I simply do not understand why. Critics review are ridiculously high. After 3 years, I have to say I am aligned with most people's feeling on this game: very insuﬃcient.",4,"Sep 2, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
ForRealGamers, Still don’t understand why they didn’t make this game about Abby and her back story ? It would have eased her character on us and made us actually care for her more and the moments to come instead of her just coming out of no where and BOOM Joel dead …and then continue to force her down our throats and try to make us feel for her after doing that to?? Like yeah Joel is an **** but he is a **** that been through playing the story for and we understand why he is the way he is ?? Addy we didn’t know till we know …so yeah we got to ﬁgure those feelings out on our own,2,"Sep 1, 2023",0,No hate speech detected.
PunisherTeam, The worst garbage you can ﬁnd. If you played the last of us part 1 you know what I'm saying. The argument is garbage woke. Naugty dog should close his company or ﬁre the genius who made this garbage.,0,"Sep 1, 2023",0,No hate speech detected.
SmartLee, NEVER DO **** again! This game is a piece of global **** will never buy any game from this studio!,0,"Aug 29, 2023",0,No hate speech detected.
KamenRiderDark," The gameplay and environment are good, but overall tainted by the terrible narrative and overall theme of the game. Naughty Dog tries to warn and discourage players about the consequences of pursuing revenge, yet they force us to play as a character right after said character kills one of our beloved protagonist from the series! How exactly does this discourage us from seeking revenge when it only makes us sympathetic to their horrible actions. Both Abby and Ellie do not mature or get character development and they essentially remain the same towards end of the game. Player's spend hours seeing their character get revenge by killing key characters and innocent NPC's only to spare the main target at the very last second? It felt like we wasted our time and we were left with dread and disappointment. It doesn't make sense for the main character to just walk away from their objective at the last second despite the fact said character gave up the pursuit sometime earlier in the story. There are some characters in the game that do not supplement character development or show qualities that make us feel sympathetic towards them. Take for instance Jesse and Manny who are only there to provide some drama to the narrative without providing memorable personal traits. The ﬂashbacks were also poorly executed. Those ﬂashbacks should have been the ﬁrst playable parts of the game and then switch over to the main plot. It would have made the game's ending even more impressionable instead of making us feel like all our eﬀorts were basically for nothing. I honestly think Naughty Dog should have created two campaign modes for the game, one focused completely from Ellie's perspective and another on Abby's story. Upon completion of Ellie's story we will have the option to complete Abby's campaign instead of having us switch between these characters. Overall, I don't think this game is worth $59+ and I am disappointed with it. I think Naughty Dog should remake this game or at least learn their mistakes by the time they release Last of Us III.",0,"Aug 27, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
," Hellﬁre74 It is absolutely disgusting what they did with this story and franchise. There is a great game play, the graphics are amazing but obviously if the story is crap, if you disrespect the characters of Part 1, kill the main character and then play as it's murderer?! You have to be a psychopath minded to think this was a good idea. All these green reviews are all bot farming to damage control obviously.",0,"Aug 26, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Popomaster, Politic and bad...........................................................................,0,"Aug 25, 2023",0,No hate speech detected.
Madremia," The graphics are great, but not the gameplay. There are some issues with the gameplay mechanics and AI. And part of it has to do with the story telling and how the developers are trying to sway your opinion. To avoid spoilers, I’ll have to be cryptic here. You play as more than one character, and there is a signiﬁcant diﬀerence between how easy they are to control (which seems to be another lame attempt to make you like that character more). Trying to play with Ellie makes it seem like she is physically ****. It’s like they turn the diﬃculty down a couple notches with the other character. They move faster, aim better, have better weapons that do more damage, get more supplies, are not noticed as easily, and craft more supplies with less materials. It’s a whole diﬀerent game where you don’t care who you’re ﬁghting or how much ammo you have, you’re going to win. Playing the guitar was a clever way of using the PS4 controller, but after doing it again and again, it’s becomes a distraction. Can we get back to the **** yea, that’s not the strong-point on this one, is it? Concerning the **** seemed the developers could not ﬁgure out whether they wanted a stealth or combat game. The AI follows predetermined patrol paths in every scene, until you do something. Then they obviously gravitate towards you no matter where you are hiding. Say you set a trap and sneak away to a quiet corner. Once the trap is triggered, all remaining enemies start moving towards you. Humans and infected both do this. It became most obvious when a human discovered me while I was hiding behind cover, and they were on top of the building I was in. Then he starting shooting and doing damage...through the roof. Hmm, ok. If humans and infected are in the same scene, they will only engage in a brief confrontation before they act like the other side is invisible. That part made me curse out loud. You try to lure infected towards human opponents, they engage and then...just stop and wander around each other looking for you. Story: Disappointing, over and over. The drama about ‘who kissed who?!’ makes it seem like you’re watching Pretty Little Liars. I wouldn’t actually know because I’ve never watched that show. Because I don’t care about who is kissing who. Overall, this starts as a revenge story and it’s obvious they want to say that revenge is futile. But lord they make you pay for it, and that message got beat to a pulp with the ancient Greeks. You ﬁnd yourself saying, ‘wait we’re going oﬀ to do what? What does that have to do with this story? Is this even the same story, and who heck is that guy?’ After a while, it’s not the same story at all Concerning the events that happen, the developers try too hard for shock value and to mess with your head in obvious and tacky ways. You’re forced to do things that should have been a choice, and were probably bad ideas to begin with. Also on that part, the decisions that are made by the characters seem unbelievably immature considering the world where the game takes place, and they’re own statements. The characters make it obvious how they little they care about other characters but then drop everything to go do the impossible for them. Essentially, the ﬁrst and second game have almost nothing to do with each other plot-wise. Watching it was painful and I wish I had not seen it. Skip it. For me, the story of Last of Us ended with Joel and Ellie walking into Jackson after they left the hospital. He lies, she cries, and the guitar plays on. Best happy ending I’ve seen in a long time",0,"Aug 24, 2023",0,No hate speech detected.
Dowakin," This is bull **** don't play in this game, better buy XBox. This game is The greates disappointment in my life. Buy XBox.",0,"Aug 23, 2023",0,No hate speech detected.
Krizw," Unfortunately I was so disappointed. Part 1 was a amazing game, part 2 is so boring",0,"Aug 23, 2023",0,No hate speech detected.
TheBedLovesU," You'd be better oﬀ just playing the ﬁrst game. False advertisement, Very bad character development and story progression, completely disregards any character development from the ﬁrst game. Gameplay is pretty much the same, except now you can go prone Spoiler alert you never do ...",0,"Aug 23, 2023",0,No hate speech detected.
Fadeyy," Boring as hell, Niel is not genius, story is fkn **** its really 0/10 game, no words",0,"Aug 22, 2023",0,No hate speech detected.
Chris1503," From a gameplay perspective they did improve the game from the 1st Part, but the most important part the story just doesnt live up to the Last of us 1.",1,"Aug 19, 2023",0,No hate speech detected.
Spyzor, I can hardly believe Naugty Dog made this pile of cr*p. I was waiting for this game for years. A pathetic story making no sense. Those involved in it must feel really proud of reaching so low.,1,"Aug 17, 2023",0,No hate speech detected.
Dannyboy31805, The game is so boring and they made the characters look weird or ugly. Abby is an abomination and must be on steroids and they kill the loved main character oﬀ in a trash way. Nobody likes that. If you like the game and the way it is play it.,1,"Aug 17, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
," ReﬁnedInsights Don't even bother with this post-apocalyptic piece of garbage. Tries too hard to be original by putting you into the shoes of the antagonist; most players hate the antagonist, has a story that has as much grace as a piece of chewing gum stuck under your shoe. The only thing redeeming about it are the graphics, and at that rate, just watch a movie. It will have a better storyline than this and will save you a lot of time.",0,"Aug 16, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
elguru," Nobody should ever listen to so called ""critics"" ever again, they've proven to me that they are not to be trusted for the last time, they are all paid idiots who make trash in this world prolifer.",0,"Aug 15, 2023",0,No hate speech detected.
GamoPedia, As a hardcore PlayStation Fan I can't believe I'm saying this that i hate TLOU2 i will never forgive and i will never forget Naughtydog killed the main protagonist of the ﬁrst game. I will always hate this game because this game mad a hole in my heart. On top of that they added LGBT BS Political elements in this game which is completely unnecessary and unacceptable. As a hardcore PS fan I'm really sad to this that the only game i hate belongs to PlayStation sorry but i will always hate this game.,0,"Aug 14, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
trylemontea, the story is questionable nonsense. awful Political correctness. crazy idea,2,"Aug 14, 2023",0,No hate speech detected.
, ﬂuem Don't play this Game if you have a heart. The devs proved that they don't have one.,0,"Aug 13, 2023",0,No hate speech detected.
tradorulz, part I : 10 part II : -10 total : 0 you guys destory the story. good job,0,"Aug 12, 2023",0,No hate speech detected.
Jamestheunderdo, PLEASE REBOOT THE FRANCHISE AND GO BACK TO THE FIRST GAMES STORY.  I am saying this as a FAN of the games not a hater please re write this game. Genuinely the worst story/character assassination of all time. Ellie is out of character almost the whole game. Killing oﬀ Joel is just plain stupid no character development you force us to play as Abby NO ONE WANTS TO PLAY AS HER. Critics and fanboys white night cucks defend this game like it’s some holy grail Ellie killed the entire of Seattle but stops a Abby? Absolute dumpster ﬁre of a series no wonder when the new game comes out with that garbage ending btw. When the new game comes out we won’t care for anyone Joel is dead and I honestly don’t care about Dinas kid or Abby. Reboot this franchise PLEASE!,0,"Aug 12, 2023",1,Hate speech detected. Keyword: 'hate'. Intensity: Medium
MetaKritiker90," Disgraceful, woke game. Zombie games don't need political agendas. It's just so much worse than the ﬁrst game. The story is the most important thing and they absolutely butchered it. Such a shame.",0,"Aug 11, 2023",0,No hate speech detected.
Littlemisspeony," Solid 4.6/10. While the story mightn't be half as enticing or decent as Part 1, every other single aspect of the game was marvelous. Absolute credit to the devs, the animators, the actors, designers and technicians, the gameplay and environmental design, wow!",2,"Aug 10, 2023",0,No hate speech detected.
damianserban," Story makes no sense, nerfes Joel so he can be killed, why would he gives his name to total strangers and then the trailers made it seem like Joel is alive and helps us throughout the game so it was all a bait. Naughty Dog doesn't deserve the greenlight for a sequel even tho we want it.",0,"Aug 8, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Sickboy0138," What an abysmal abomination of justice this game is. It absolutely destroys everything the ﬁrst one stood for. I gave it a 1 for the gameplay mechanics, soundtrack and graphics. Other than that it's just junk. Poorly written characters and bad story plagues the entire thing. What a disappointment",1,"Aug 6, 2023",1,Hate speech detected. Keyword: 'destroy'. Intensity: High
KhorneOfTheHill," I gave it a 2 because it meets the technical, bare minimum requirements to be considered a video game, but that was its only redeeming factor. 2 ",2,"Aug 6, 2023",0,No hate speech detected.
kNOwsPaiN, The story feel forced down your throat. The amount of leftist political correctness is outrageous in this game that I can only give 1 score because gameplay and graphic are great and I feel bad for the developers that devoted their time and soul to make it but it couldn't help carry the bad writing of the game.,1,"Aug 6, 2023",0,No hate speech detected.
engwmw88, Very bad Characters and very bad story between them......... ........ ..........,0,"Aug 3, 2023",0,No hate speech detected.
dotgaming, maybe Joel dead is part of the game story thought by creator but they don't need us to forcibly play as character who killed Joel so brutly. rdr2 is better in term as if your main character dies but you wont play as Micha any how,1,"Aug 3, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Elim999, Play Ghost of Tsushima instead. Better a game than an agenda. Naughty Dog are the biggest **** in the game industry,0,"Jul 31, 2023",0,No hate speech detected.
brandoteek," nice graphics and mechanics BUT horrible story, simply horrible writing. I couldnt continue playing it. Dont waste your money.",0,"Jul 31, 2023",0,No hate speech detected.
AntiCringmovies," If you think Neil is a good writer. He’s not. This game will surely prove that to you. That’s the most heartbreaking part about it. Tried to give this game another shot after waiting and waiting for my absolute favourite game The Last Of Us. Since I ﬁnished the TV show and knew I had paid $100 and never ﬁnished after being completely traumatised by Joel being completely beaten to death in the ﬁrst 10 minutes of the game. People should know. Its traumatic. This game was a huge escape for me. Something I needed in bad times. Don’t play it if you have PTSD if you don’t know that happens already. Yup he gets completely beaten to a pulp. Some GOT vibe I never expected. I remember getting up the ﬁrst time I played and saying NO NO NOOOO. This time I swallowed it. Tried again. I understand the story to some extent but it is absolutely terrible. Doesn’t really make sense. The map, environmental aspects, ﬂashbacks, all of it really doesn’t make much sense. You’re just running around forever and it’s so boring. It ends on a complete cliﬀ hanger. I will never understand exactly why players had to play as Abbey. The murderer. And have to try to kill Ellie?! Idc about spoilers. People should know. I understand the message but why? Why push this? Neil you are a terrible **** you did this I really don’t understand. You got all your money and stopped caring? I understand the message but why deliver it like that? Idk what happened to you in your life or something with your creativity shifting so drastically but this game was such a waste of money and total garbage. I’m sorry but it is. You seriously just run around for the entire game. Expecting there to be some big moving moment or something but there’s none. I really tried to give it another chance but it ended up breaking my heart again. I hope the TV show doesn’t do this…I’m sure fans will be equally infuriated and traumatised and upset by this just overall bad story writing. I understand the message, I do and I like it but the way it’s presented is some of the worst story writing I’ve ever seen. Such a disappointment. I really looked up to Neil. This was lazy and sloppy. Pointless. Boring. Waste of time. Trying to push a message on people in the worst possible way. It could’ve been done so much better. 0/10 I really tried my best to see the good but by the end. As a whole. The game is bad. I don’t know a soul who thinks it was good. Don’t waste your money, time, to be disappointed, bored as hell, heartbroken by a beautiful story being slashed to pieces with no proper explanation or ending. Honestly, shame on you Neil. You knew you had so many fans and I have no clue why you did that to us like that. So much money made from the release of this game just to upset so many people. It’s just so mean and on top of it to be so lazy with it?? It’s so awful. I’m just so upset I tried so hard to give him and the other creators another chance for nothing in return. What a waste of talent.",0,"Jul 28, 2023",1,Hate speech detected. Keyword: 'kill'. Intensity: High
Trolisjw," One of the most overrated games ever. The 10s are classiﬁed here in two groups. A) Sony Fanboys. B) People that have not read books or watched good movies C) ""Don't Ask Questions, Just Consume Product and Then Get Excited for Next Products"" Kind of guy. The writing is not that great, usually that's what get praised about this game.  It is the generic moder trope of deconstructionist relativism, in interactive movie form. The mechanics are ok.. but to get to that you have to use unlikable characters in game.  Not a 10, a solid 6, but giving it a 0 to balance the undeserved 10s.",0,"Jul 27, 2023",0,No hate speech detected.
Lirde9244," This game is pure propaganda from the left. It's really bad . Naughty Dog, you should make games, not propaganda . 3 ",1,"Jul 23, 2023",0,No hate speech detected.
